number ;Samples_ID;Collection_month;Year_collection;Collection_date;Block_ID;Lake_ID;filter_pore_size;Bological_Replicates;UTC;Hour_Collection_start;Hour_Collection_end;L_F;L_M;L_SC;L_SL;L_tot_filtered;Treatment;Sampling_type;Pompe;expe;Comments_field;Transfer_date;Extraction_date
1;T1_0.1_blue_March22;March;2022;23.03.2022;B2;L5;0.1;blue;summer;12:30:00;13:45:00;NA;NA;NA;NA;8;P;Daily;triple;JG_GL;test_water collection;;
2;T1_0.1_orange_March22;March;2022;23.03.2022;B2;L5;0.1;orange ;summer;12:30:00;13:45:00;NA;NA;NA;NA;7,5;P;Daily;triple;JG_GL;test_water collection;;
3;T1_0.1_red_March22;March;2022;23.03.2022;B2;L5;0.1;red;summer;12:30:00;13:45:00;NA;NA;NA;NA;8,2;P;Daily;triple;JG_GL;test_water collection;;
4;T1_0.45_blue_March22;March;2022;23.03.2022;B2;L5;0.45;blue;summer;12:30:00;13:45:00;NA;NA;NA;NA;8;P;Daily;triple;JG_GL;test_water collection;;
5;T1_0.45_orange_March22;March;2022;23.03.2022;B2;L5;0.45;orange ;summer;12:30:00;13:45:00;NA;NA;NA;NA;7,5;P;Daily;triple;JG_GL;test_water collection;;
6;T1_0.45_red_March22;March;2022;23.03.2022;B2;L5;0.45;red;summer;12:30:00;13:45:00;NA;NA;NA;NA;8,2;P;Daily;triple;JG_GL;test_water collection;;
7;T2_0.1_blue_March22;March;2022;23.03.2022;B2;L5;0.1;blue;summer;16:30:00;17:45:00;NA;NA;NA;NA;8,2;P;Daily;triple;JG_GL;test_water collection;;
8;T2_0.1_orange_March22;March;2022;23.03.2022;B2;L5;0.1;orange ;summer;16:30:00;17:45:00;NA;NA;NA;NA;6,8;P;Daily;triple;JG_GL;test_water collection;;
9;T2_0.1_red_March22;March;2022;23.03.2022;B2;L5;0.1;red;summer;16:30:00;17:45:00;NA;NA;NA;NA;7,4;P;Daily;triple;JG_GL;test_water collection;;
10;T2_0.45_blue_March22;March;2022;23.03.2022;B2;L5;0.45;blue;summer;16:30:00;17:45:00;NA;NA;NA;NA;8,2;P;Daily;triple;JG_GL;test_water collection;;
11;T2_0.45_orange_March22;March;2022;23.03.2022;B2;L5;0.45;orange ;summer;16:30:00;17:45:00;NA;NA;NA;NA;6,8;P;Daily;triple;JG_GL;test_water collection;;
12;T2_0.45_red_March22;March;2022;23.03.2022;B2;L5;0.45;red;summer;16:30:00;17:45:00;NA;NA;NA;NA;7,4;P;Daily;triple;JG_GL;test_water collection;;
13;T3_0.1_blue_March22;March;2022;23.03.2022;B2;L5;0.1;blue;summer;20:30:00;21:45:00;NA;NA;NA;NA;7,5;P;Daily;triple;JG_GL;test_water collection;;
14;T3_0.1_orange_March22;March;2022;23.03.2022;B2;L5;0.1;orange ;summer;20:30:00;21:45:00;NA;NA;NA;NA;7,6;P;Daily;triple;JG_GL;test_water collection;;
15;T3_0.1_red_March22;March;2022;23.03.2022;B2;L5;0.1;red;summer;20:30:00;21:45:00;NA;NA;NA;NA;7,8;P;Daily;triple;JG_GL;test_water collection;;
16;T3_0.45_blue_March22;March;2022;23.03.2022;B2;L5;0.45;blue;summer;20:30:00;21:45:00;NA;NA;NA;NA;7,5;P;Daily;triple;JG_GL;test_water collection;;
17;T3_0.45_orange_March22;March;2022;23.03.2022;B2;L5;0.45;orange ;summer;20:30:00;21:45:00;NA;NA;NA;NA;7,6;P;Daily;triple;JG_GL;test_water collection;;
18;T3_0.45_red_March22;March;2022;23.03.2022;B2;L5;0.45;red;summer;20:30:00;21:45:00;NA;NA;NA;NA;7,8;P;Daily;triple;JG_GL;test_water collection;;
19;T4_0.1_blue_March22;March;2022;24.03.2022;B2;L5;0.1;blue;summer;00:30:00;01:45:00;NA;NA;NA;NA;7,2;P;Daily;triple;JG_GL;test_water collection;;
20;T4_0.1_orange_March22;March;2022;24.03.2022;B2;L5;0.1;orange ;summer;00:30:00;01:45:00;NA;NA;NA;NA;6,4;P;Daily;triple;JG_GL;test_water collection;;
21;T4_0.1_red_March22;March;2022;24.03.2022;B2;L5;0.1;red;summer;00:30:00;01:45:00;NA;NA;NA;NA;6,8;P;Daily;triple;JG_GL;test_water collection;;
22;T4_0.45_blue_March22;March;2022;24.03.2022;B2;L5;0.45;blue;summer;00:30:00;01:45:00;NA;NA;NA;NA;7,2;P;Daily;triple;JG_GL;test_water collection;;
23;T4_0.45_orange_March22;March;2022;24.03.2022;B2;L5;0.45;orange ;summer;00:30:00;01:45:00;NA;NA;NA;NA;6,4;P;Daily;triple;JG_GL;test_water collection;;
24;T4_0.45_red_March22;March;2022;24.03.2022;B2;L5;0.45;red;summer;00:30:00;01:45:00;NA;NA;NA;NA;6,8;P;Daily;triple;JG_GL;test_water collection;;
25;T5_0.1_blue_March22;March;2022;24.03.2022;B2;L5;0.1;blue;summer;04:30:00;05:45:00;NA;NA;NA;NA;7,6;P;Daily;triple;JG_GL;test_water collection;;
26;T5_0.1_orange_March22;March;2022;24.03.2022;B2;L5;0.1;orange ;summer;04:30:00;05:45:00;NA;NA;NA;NA;7,6;P;Daily;triple;JG_GL;test_water collection;;
27;T5_0.1_red_March22;March;2022;24.03.2022;B2;L5;0.1;red;summer;04:30:00;05:45:00;NA;NA;NA;NA;6,7;P;Daily;triple;JG_GL;test_water collection;;
28;T5_0.45_blue_March22;March;2022;24.03.2022;B2;L5;0.45;blue;summer;04:30:00;05:45:00;NA;NA;NA;NA;7,6;P;Daily;triple;JG_GL;test_water collection;;
