;Samples_names;Month;Year;date_sampling;Number_Serie
1;L1_0.45_April22;April;2022;21.04.2022;1
2;L2_0.45_April22;April;2022;21.04.2022;1
3;L3_0.45_April22;April;2022;21.04.2022;1
4;L4_0.45_April22;April;2022;21.04.2022;1
5;L5_0.45_April22;April;2022;21.04.2022;1
6;L6_0.45_April22;April;2022;21.04.2022;1
7;L7_0.45_April22;April;2022;21.04.2022;1
8;L8_0.45_April22;April;2022;21.04.2022;1
9;L9_0.45_April22;April;2022;21.04.2022;1
10;L10_0.45B_April22;April;2022;21.04.2022;1
11;L10_0.45O_April22;April;2022;21.04.2022;1
12;L10_0.45R_April22;April;2022;21.04.2022;1
13;ctrl_0.45_Monthly_April22;April;2022;21.04.2022;1
14;L11_0.45_April22;April;2022;21.04.2022;1
15;L12_0.45_April22;April;2022;21.04.2022;1
16;L1_0.45_May22;May;2022;19.05.2022;1
17;L2_0.45_May22;May;2022;19.05.2022;1
18;L3_0.45_May22;May;2022;19.05.2022;1
19;L4_0.45_May22;May;2022;19.05.2022;1
20;L5_0.45_May22;May;2022;19.05.2022;1
21;L6_0.45B_May22;May;2022;19.05.2022;1
22;L6_0.45O_May22;May;2022;19.05.2022;1
23;L6_0.45R_May22;May;2022;19.05.2022;1
24;ctrl_0.45_Monthly_May22;May;2022;19.05.2022;1
25;L7_0.45_May22;May;2022;19.05.2022;1
26;L8_0.45_May22;May;2022;19.05.2022;1
27;L9_0.45_May22;May;2022;19.05.2022;1
28;L10_0.45_May22;May;2022;19.05.2022;1
29;L11_0.45_May22;May;2022;19.05.2022;1
30;L12_0.45_May22;May;2022;19.05.2022;1
31;L1_0.45B_June22;June;2022;23.06.2022;1
32;L1_0.45O_June22;June;2022;23.06.2022;1
33;L1_0.45R_June22;June;2022;23.06.2022;1
34;ctrl_0.45_Monthly_June22;June;2022;23.06.2022;1
35;L2_0.45_June22;June;2022;23.06.2022;1
36;L3_0.45_June22;June;2022;23.06.2022;1
37;L4_0.45_June22;June;2022;23.06.2022;1
38;L5_0.45_June22;June;2022;23.06.2022;1
39;L6_0.45_June22;June;2022;23.06.2022;1
40;L7_0.45_June22;June;2022;23.06.2022;1
41;L8_0.45_June22;June;2022;23.06.2022;1
42;L9_0.45_June22;June;2022;23.06.2022;1
43;L10_0.45_June22;June;2022;23.06.2022;1
44;L11_0.45_June22;June;2022;23.06.2022;1
45;L12_0.45_June22;June;2022;23.06.2022;1
46;L1_0.45_July22;July;2022;21.07.2022;1
47;L2_0.45_July22;July;2022;21.07.2022;1
48;L3_0.45_July22;July;2022;21.07.2022;1
49;L4_0.45_July22;July;2022;21.07.2022;1
50;L5_0.45_July22;July;2022;21.07.2022;1
51;L6_0.45_July22;July;2022;21.07.2022;1
52;L7_0.45_July22;July;2022;21.07.2022;1
53;L8_0.45_July22;July;2022;21.07.2022;1
54;L9_0.45B_July22;July;2022;21.07.2022;1
55;L9_0.45O_July22;July;2022;21.07.2022;1
56;L9_0.45R_July22;July;2022;21.07.2022;1
57;ctrl_0.45_Monthly_July22;July;2022;21.07.2022;1
58;L10_0.45_July22;July;2022;21.07.2022;1
59;L11_0.45_July22;July;2022;21.07.2022;2
60;L12_0.45_July22;July;2022;21.07.2022;2
61;L1_0.45_Aug22;August;2022;18.08.2022;2
62;L2_0.45_Aug22;August;2022;18.08.2022;2
63;L3_0.45_Aug22;August;2022;18.08.2022;2
64;L4_0.45_Aug22;August;2022;18.08.2022;2
65;L5_0.45B_Aug22;August;2022;18.08.2022;2
66;L5_0.45O_Aug22;August;2022;18.08.2022;2
67;L5_0.45R_Aug22;August;2022;18.08.2022;2
68;ctrl_0.45_Monthly_Aug22;August;2022;18.08.2022;2
69;L6_0.45_Aug22;August;2022;18.08.2022;2
70;L7_0.45_Aug22;August;2022;18.08.2022;2
71;L8_0.45_Aug22;August;2022;18.08.2022;2
72;L9_0.45_Aug22;August;2022;18.08.2022;2
73;L10_0.45_Aug22;August;2022;18.08.2022;2
74;L11_0.45_Aug22;August;2022;18.08.2022;2
75;L12_0.45_Aug22;August;2022;18.08.2022;2
76;L1_0.45_Sept22;September;2022;22.09.2022;2
